"file";"link";"status"
"DOCS-INDEX.md";"../.devcontainer/VS-CODE-MCP-CACHE-ISSUE.md";"broken"
"DOCS-INDEX.md";"../figma-design-system/FIGMA-README.md";"broken"
"DOCS-INDEX.md";"../figma-design-system/00_design-tokens.json";"broken"
"DOCS-INDEX.md";"../figma-design-system/BRAND-GUIDELINES.md";"broken"
"DOCS-INDEX.md";"../figma-design-system/COMPONENT-USAGE.md";"broken"
"DOCS-INDEX.md";"../figma-design-system/FIGMA-SYNC-GUIDE.md";"broken"
"DOCS-INDEX.md";"../figma-design-system/FIGMA-INTEGRATION-COMPLETE.md";"broken"
"DOCS-INDEX.md";"../tests/README.md";"broken"
"DOCS-INDEX.md";"../playwright.config.js";"broken"
"DOCS-INDEX.md";"../vitest.config.js";"broken"
"DOCS-INDEX.md";"../jest.config.cjs";"broken"
"DOCS-INDEX.md";"../quality-reports/CODACY-INTEGRATION-COMPLETE.md";"broken"
"DOCS-INDEX.md";"../quality-reports/QUALITY-STATUS-20251003.md";"broken"
"DOCS-INDEX.md";"../quality-reports/GIT-LFS-MIGRATION-REPORT.md";"broken"
"DOCS-INDEX.md";"../quality-reports/PHASE-0-COMPLETION-REPORT.md";"broken"
"DOCS-INDEX.md";"security/F-01-COMPLETION-REPORT.md";"broken"
"DOCS-INDEX.md";"security/F-02-COMPLETION-REPORT.md";"broken"
"DOCS-INDEX.md";"security/F-03-COMPLETION-REPORT.md";"broken"
"DOCS-INDEX.md";"../analysis/phase-0/verification/phase-0-verification-report.md";"broken"
"DOCS-INDEX.md";"../LICENSE";"broken"
"DOCS-INDEX.md";"governance/GIT-GOVERNANCE-POLICY.md";"broken"
"DOCS-INDEX.md";"legal/DSGVO-COMPLIANCE-BLUEPRINT.md";"broken"
"DOCS-INDEX.md";"legal/WCAG-AA-COMPLIANCE-BLUEPRINT.md";"broken"
"DOCS-INDEX.md";"../BRANCH-RENAME-TO-MAIN.md";"broken"
"DOCS-INDEX.md";"../BRANCH-CLEANUP-REPORT.md";"broken"
"DOCS-INDEX.md";"../QUICK-BRANCH-CHANGE.md";"broken"
"DOCS-INDEX.md";"../BRANCH-UMSTELLUNG-ANLEITUNG.md";"broken"
"DOCS-INDEX.md";"../BRANCH-PROTECTION-SETUP.md";"broken"
"DOCS-INDEX.md";"../ENTERPRISE-SETUP-SUCCESS-REPORT.md";"broken"
"DOCS-INDEX.md";"../GITHUB-SECRETS-COMPLETE-SETUP.md";"broken"
"DOCS-INDEX.md";"../GITHUB-SECRETS-SETUP.md";"broken"
"DOCS-INDEX.md";"../GITHUB-TOKEN-SETUP.md";"broken"
"DOCS-INDEX.md";"../PR62-SECURITY-FIXES.md";"broken"
"DOCS-INDEX.md";"../figma-design-system/FIGMA-INTEGRATION-COMPLETE.md";"broken"
"DOCS-INDEX.md";"../figma-design-system/FIGMA-IMPLEMENTATION-SUMMARY.md";"broken"
"DOCS-INDEX.md";"../quality-reports/GIT-LFS-MIGRATION-REPORT.md";"broken"
"DOCS-INDEX.md";"../CODESPACE-TROUBLESHOOTING.md";"broken"
"DOCS-INDEX.md";"../ZUGANGSDATEN-CHECKLISTE.md";"broken"
"DOCS-INDEX.md";"#-getting-started";"broken"
"DOCS-INDEX.md";"../frontend/README.md";"broken"
"DOCS-INDEX.md";"#-design-system";"broken"
"DOCS-INDEX.md";"../api.menschlichkeit-oesterreich.at/README.md";"broken"
"DOCS-INDEX.md";"#-operations--deployment";"broken"
"DOCS-INDEX.md";"#-security--compliance";"broken"
"DOCS-INDEX.md";"#-testing";"broken"
"DOCS-INDEX.md";"#-quality--reports";"broken"
"FIGMA-MCP-QUICKSTART.md";"./FIGMA-MCP-SETUP.md";"broken"
"FIGMA-MCP-QUICKSTART.md";"./FIGMA-MCP-SETUP.md#troubleshooting";"broken"
"FIGMA-MCP-QUICKSTART.md";"./FIGMA-MCP-SETUP.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"../README.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"getting-started.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"../CONTRIBUTING.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"architecture/SYSTEM-ARCHITECTURE.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"architecture/SERVICES.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"architecture/DATABASE.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"../SECURITY.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"compliance/DSGVO.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"compliance/RIGHT-TO-ERASURE-PROCEDURES.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"development-setup.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"testing-guide.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"deployment-guide.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"../api.menschlichkeit-oesterreich.at/README.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"../crm.menschlichkeit-oesterreich.at/README.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"../frontend/README.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"../web/README.md";"broken"
"NEUE-AUFGABEN-2025-10.md";"../automation/README.md";"broken"
"README-PR69-RESOLUTION.md";"./github/workflows/resolve-pr-conflicts.yml";"broken"
"README.md";"#-projektübersicht";"broken"
"README.md";"#-quick-start";"broken"
"README.md";"#️-architektur--tech-stack";"broken"
"README.md";"#️-entwicklung";"broken"
"README.md";"#-konfiguration";"broken"
"README.md";"#-projektstruktur";"broken"
"README.md";"#-dokumentation";"broken"
"README.md";"#-testing";"broken"
"README.md";"#-deployment";"broken"
"README.md";"#-contributing";"broken"
"README.md";"#-lizenz";"broken"
"README.md";"#-support";"broken"
"README.md";"#-über-menschlichkeit-österreich";"broken"
"README.md";"..dokum/CODESPACE-STATUS-CHECKER.md";"broken"
"README.md";"..dokum/CODESPACE-TROUBLESHOOTING.md";"broken"
"SECURITY-DSGVO-IMPLEMENTATION-REPORT.md";"../../SECURITY.md";"broken"
"SECURITY-DSGVO-IMPLEMENTATION-REPORT.md";"../privacy/art-32-toms.md";"broken"
"SECURITY-DSGVO-IMPLEMENTATION-REPORT.md";"../privacy/art-35-dpia.md";"broken"
"SECURITY-DSGVO-IMPLEMENTATION-REPORT.md";"../security/secrets-catalog.md";"broken"
"SECURITY-DSGVO-IMPLEMENTATION-REPORT.md";"../security/rulesets-and-protection.md";"broken"
"SUPPORT.md";"#getting-help";"broken"
"SUPPORT.md";"#reporting-issues";"broken"
"SUPPORT.md";"#security-issues";"broken"
"SUPPORT.md";"#documentation";"broken"
"SUPPORT.md";"#community";"broken"
"SUPPORT.md";"#faq";"broken"
"SUPPORT.md";"#contact";"broken"
"SUPPORT.md";"api.menschlichkeit-oesterreich.at/docs";"broken"
"SUPPORT.md";"docs/getting-started.md";"broken"
"SUPPORT.md";"docs/development-setup.md";"broken"
"SUPPORT.md";"docs/testing-guide.md";"broken"
"SUPPORT.md";"docs/deployment-guide.md";"broken"
"SUPPORT.md";"examples/";"broken"
"SUPPORT.md";"docs/compliance/PRIVACY.md";"broken"
